    PID TTY      STAT   TIME COMMAND
   1126 ?        Sl     0:00 /usr/bin/VBoxClient --vmsvga
   1210 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch cinnamon-session-cinnamon
   1222 ?        Ssl    0:00 /usr/libexec/gvfsd
   1227 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   1230 ?        Ssl    0:00 /usr/libexec/at-spi-bus-launcher
   1238 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   1242 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   1253 ?        Sl     0:00 csd-xsettings
   1254 ?        Sl     0:00 csd-wacom
   1255 ?        Sl     0:00 csd-sound
   1256 ?        Sl     0:00 csd-media-keys
   1257 ?        Sl     0:00 csd-automount
   1258 ?        Sl     0:01 csd-background
   1259 ?        Sl     0:00 csd-color
   1260 ?        Sl     0:00 csd-a11y-keyboard
   1265 ?        Sl     0:00 csd-screensaver-proxy
   1272 ?        Sl     0:00 csd-print-notifications
   1284 ?        Sl     0:00 csd-a11y-settings
   1287 ?        Sl     0:00 csd-cursor
   1288 ?        Sl     0:00 csd-orientation
   1291 ?        Sl     0:00 csd-keyboard
   1292 ?        Sl     0:00 csd-mouse
   1294 ?        Sl     0:00 csd-clipboard
   1296 ?        Sl     0:00 csd-housekeeping
   1299 ?        Sl     0:00 csd-power
   1303 ?        Sl     0:00 csd-xrandr
   1336 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   1344 ?        Sl     0:00 /usr/libexec/csd-printer
   1348 ?        Sl     0:00 /usr/libexec/dconf-service
   1350 ?        Ssl    0:00 /usr/libexec/colord
   1361 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   1366 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1386 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1391 ?        Sl     0:01 cinnamon-launcher
   1392 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   1398 ?        Sl     0:00 /usr/libexec/goa-daemon
   1403 ?        Sl     6:21 cinnamon --replace
   1410 ?        Sl     0:00 /usr/libexec/goa-identity-service
   1444 ?        Sl     0:00 /usr/libexec/xapps/sn-watcher/xapp-sn-watcher
   1450 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1452 ?        Sl     0:00 blueberry-obex-agent
   1458 ?        Sl     0:01 nemo-desktop
   1460 ?        Sl     0:00 nm-applet
   1468 ?        Sl     0:00 cinnamon-killer-daemon
   1473 ?        Sl     0:00 /usr/libexec/geoclue-2.0/demos/agent
   1479 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
   1510 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   1526 ?        Ss     0:00 /usr/lib/bluetooth/obexd
   1540 ?        Ssl    0:00 /usr/libexec/evolution-calendar-factory
   1554 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   1612 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
   1627 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   1684 ?        Sl     0:01 mintUpdate
   1727 ?        S      0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
   1734 ?        Ssl    0:03 /usr/libexec/gnome-terminal-server
   1741 pts/0    Ss     0:00 bash
